106,0.233868,0.016979,0.053643,0.013535,0.591351,0.899179,0.108237,0.860238
330,0.149182,0.632354,0.002312,0.007651,0.787645,0.000173,0.489949,0.982143
358,0.766490,0.030659,0.026482,0.162599,0.000005,0.844382,0.119861,0.847190
578,0.067540,0.687705,0.000427,0.714314,0.992657,0.064296,0.000001,0.850670
877,0.643960,0.056538,0.007862,0.001136,0.670328,0.394821,0.724896,0.431812
1064,0.542171,0.339444,0.078048,0.506620,0.379659,0.063050,0.791823,0.586467
1126,0.212510,0.009795,0.081305,0.698796,0.001627,0.627232,0.000001,0.997146
1196,0.389957,0.050182,0.334003,0.000000,0.353733,0.000678,0.840477,0.913606
1381,0.951730,0.821302,0.005804,0.000041,0.002570,0.946876,0.000000,0.935794
1393,0.358670,0.066374,0.604666,0.705203,0.001775,0.941025,0.000073,0.781006
1421,0.683119,0.179075,0.357544,0.487650,0.541189,0.747296,0.859730,0.769456
1607,0.225107,0.151688,0.137684,0.911751,0.707296,0.561678,0.388059,0.010952
1679,0.605738,0.933558,0.045392,0.406085,0.000059,0.493919,0.668253,0.570699
1701,0.442551,0.639956,0.696671,0.440425,0.001379,0.956411,0.970381,0.000033
1770,0.942282,0.070014,0.089533,0.700063,0.732786,0.235116,0.692274,0.134651
1845,0.575163,0.289140,0.049491,0.510786,0.017629,0.342255,0.575007,0.745796
1947,0.322244,0.217323,0.019710,0.893441,0.000392,0.273231,0.742564,0.858241
1966,0.933677,0.751459,0.070215,0.811810,0.254967,0.996224,0.834174,0.012797
2248,0.475989,0.046633,0.253627,0.059412,0.520149,0.672368,0.000000,0.906313
2338,0.319408,0.872289,0.013563,0.234117,0.000442,0.789054,0.510769,0.731368
2375,0.304167,0.318878,0.845688,0.494226,0.000008,0.941555,0.202119,0.564299
2381,0.176565,0.861291,0.019440,0.166975,0.037802,0.000000,0.958373,0.910711
2472,0.238441,0.156749,0.099830,0.266509,0.265450,0.678119,0.596724,0.634058
2488,0.353931,0.060422,0.805057,0.713037,0.211403,0.714603,0.827432,0.209046
2647,0.582025,0.268420,0.105191,0.158114,0.028849,0.010546,0.967947,0.961452
2696,0.477327,0.022520,0.060123,0.102980,0.618665,0.000155,0.623633,0.906874
2727,0.727274,0.003748,0.002212,0.000119,0.399276,0.766803,0.874667,0.000000
2755,0.531275,0.441377,0.502867,0.396508,0.637145,0.827732,0.310093,0.885117
2818,0.530182,0.045771,0.008696,0.688546,0.534856,0.618745,0.800296,0.000002
2832,0.709229,0.141639,0.491508,0.282653,0.139573,0.459491,0.501343,0.612867
2878,0.458889,0.532686,0.006540,0.797464,0.479294,0.829134,0.025981,0.487627
2999,0.741165,0.003394,0.774818,0.566712,0.005874,0.705769,0.903480,0.000000
3176,0.673419,0.069863,0.867679,0.083184,0.527524,0.917051,0.787512,0.000010
