0.438787,0.080681,0.043507,0.003404,0.967337,0.000000,0.000313,0.199960
0.379938,0.259125,0.000853,0.079653,0.010871,0.028731,0.016472,0.000434
0.622929,0.015639,0.110751,0.000629,0.106963,0.000798,0.019658,0.000000
0.852583,0.091041,0.190057,0.000410,0.000005,0.000106,0.148216,0.000091
0.587775,0.110239,0.048991,0.000930,0.273944,0.013004,0.000063,0.001812
0.615061,0.847855,0.006848,0.004159,0.006393,0.005448,0.001334,0.160749
0.134657,0.127737,0.037943,0.347550,0.316226,0.025032,0.010984,0.000001
0.324698,0.473569,0.330234,0.539805,0.010498,0.023313,0.000000,0.789940
0.548483,0.531226,0.227899,0.052713,0.001944,0.000084,0.935254,0.081978
0.683119,0.179075,0.357544,0.487650,0.541189,0.747296,0.859730,0.769456
